nr_Epoch,nr_Acc1,nr_Acc2,nr_Thresh1,nr_Thresh2,r_Epoch,r_Acc1,r_Acc2,r_Thresh1,r_Thresh2
154.0,0.0,1.0,6e-08,6e-08,154.0,1.0,0.0,7.199999999999998e-07,2e-08
155.0,1.0,0.0,6e-08,6e-08,155.0,1.0,0.0,7.199999999999998e-07,2e-08
156.0,1.0,0.0,6e-08,6e-08,156.0,1.0,0.0,7.199999999999998e-07,2e-08
157.0,1.0,0.0,6e-08,6e-08,157.0,1.0,0.0,7.199999999999998e-07,2e-08
158.0,1.0,0.0,6e-08,6e-08,158.0,1.0,0.0,7.199999999999998e-07,2e-08
159.0,1.0,0.0,6e-08,6e-08,159.0,1.0,0.0,7.199999999999998e-07,2e-08
160.0,1.0,0.0,6e-08,6e-08,160.0,1.0,0.0,7.199999999999998e-07,2e-08
161.0,1.0,0.0,6e-08,6e-08,161.0,1.0,0.0,7.199999999999998e-07,2e-08
162.0,1.0,0.0,6e-08,6e-08,162.0,1.0,0.0,7.199999999999998e-07,2e-08
163.0,1.0,0.0,6e-08,6e-08,163.0,1.0,0.0,7.199999999999998e-07,2e-08
164.0,1.0,0.0,6e-08,6e-08,164.0,1.0,0.0,7.199999999999998e-07,2e-08
165.0,1.0,0.0,6e-08,6e-08,165.0,1.0,0.0,7.199999999999998e-07,2e-08
166.0,1.0,0.0,6e-08,6e-08,166.0,1.0,0.0,7.199999999999998e-07,2e-08
167.0,1.0,0.0,6e-08,6e-08,167.0,1.0,0.0,7.199999999999998e-07,2e-08
168.0,0.0,1.0,6e-08,6e-08,168.0,1.0,0.0,7.199999999999998e-07,2e-08
169.0,0.0,1.0,6e-08,6e-08,169.0,0.0,1.0,7.199999999999998e-07,2e-08
170.0,0.0,1.0,6e-08,6e-08,170.0,1.0,0.0,7.199999999999998e-07,2e-08
171.0,0.0,1.0,6e-08,6e-08,171.0,1.0,0.0,7.199999999999998e-07,2e-08
172.0,0.0,1.0,6e-08,6e-08,172.0,1.0,0.0,7.199999999999998e-07,2e-08
173.0,0.0,1.0,6e-08,6e-08,173.0,1.0,0.0,7.199999999999998e-07,2e-08
174.0,0.0,1.0,6e-08,6e-08,174.0,1.0,0.0,7.199999999999998e-07,2e-08
175.0,0.0,1.0,6e-08,6e-08,175.0,1.0,0.0,7.199999999999998e-07,2e-08
176.0,0.0,1.0,6e-08,6e-08,176.0,1.0,0.0,7.199999999999998e-07,2e-08
177.0,0.0,1.0,6e-08,6e-08,177.0,1.0,0.0,7.199999999999998e-07,2e-08
178.0,0.0,1.0,6e-08,6e-08,178.0,1.0,0.0,7.199999999999998e-07,2e-08
179.0,0.0,1.0,6e-08,6e-08,179.0,1.0,0.0,7.199999999999998e-07,2e-08
180.0,1.0,0.0,6e-08,6e-08,180.0,1.0,0.0,7.199999999999998e-07,2e-08
181.0,1.0,0.0,6e-08,6e-08,181.0,1.0,0.0,7.799999999999997e-07,2e-08
182.0,1.0,0.0,6e-08,6e-08,182.0,1.0,0.0,7.799999999999997e-07,2e-08
183.0,0.0,1.0,6e-08,6e-08,183.0,1.0,0.0,7.799999999999997e-07,2e-08
184.0,1.0,0.0,6e-08,6e-08,184.0,1.0,0.0,7.799999999999997e-07,2e-08
185.0,1.0,0.0,6e-08,6e-08,185.0,1.0,0.0,7.799999999999997e-07,2e-08
186.0,1.0,0.0,6e-08,6e-08,186.0,1.0,0.0,7.799999999999997e-07,2e-08
187.0,1.0,0.0,6e-08,6e-08,187.0,1.0,0.0,7.799999999999997e-07,2e-08
188.0,1.0,0.0,6e-08,6e-08,188.0,1.0,0.0,7.799999999999997e-07,2e-08
189.0,1.0,0.0,6e-08,6e-08,189.0,1.0,0.0,7.799999999999997e-07,2e-08
190.0,0.0,1.0,6e-08,6e-08,190.0,1.0,0.0,7.799999999999997e-07,2e-08
191.0,0.0,1.0,6e-08,6e-08,191.0,1.0,0.0,7.799999999999997e-07,2e-08
192.0,0.0,1.0,6e-08,6e-08,192.0,1.0,0.0,7.799999999999997e-07,2e-08
193.0,0.0,1.0,6e-08,6e-08,193.0,1.0,0.0,7.799999999999997e-07,2e-08
194.0,1.0,0.0,6e-08,6e-08,194.0,1.0,0.0,7.799999999999997e-07,2e-08
195.0,0.0,1.0,6e-08,6e-08,195.0,1.0,0.0,7.799999999999997e-07,2e-08
196.0,0.0,1.0,6e-08,6e-08,196.0,1.0,0.0,7.799999999999997e-07,2e-08
197.0,0.0,1.0,6e-08,6e-08,197.0,1.0,0.0,7.799999999999997e-07,2e-08
198.0,0.0,1.0,6e-08,6e-08,198.0,1.0,0.0,7.799999999999997e-07,2e-08
199.0,0.0,1.0,6e-08,6e-08,199.0,1.0,0.0,7.799999999999997e-07,2e-08
200.0,0.0,1.0,6e-08,6e-08,200.0,1.0,0.0,7.799999999999997e-07,2e-08
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
